company,state,industry,type,location,off,dayopen,dayclose,holopen,holclose,TelNo,lapti,longit
디에이치에너지,서초구,주유소,자동세차,서초구 나루터로 83(잠원동),연중무휴,9:00,18:00,9:00,18:00,02-871-5541,37.516155,127.0188827
㈜대농석유 남태령주유소,서초구,주유소,자동세차,서초구 과천대로 838(방배동),연중무휴,9:00,18:00,9:00,18:00,02-871-9700,37.4668348,126.9879729
삼방서비스,서초구,주유소,자동세차,서초구 사평대로 364 (서초동),연중무휴,9:00,18:00,9:00,18:00,02-848-0406,37.5037367,127.0232195
서울석유㈜ 양재주유소,서초구,주유소,자동세차,서초구 바우뫼로 178(양재동),연중무휴,9:00,18:00,9:00,18:00,02-847-1793,37.4780974,127.0396022
오토코트,서초구,정비업소,손세차,서초구 서운로 46 (서초동),연중무휴,9:00,18:00,9:00,18:00,02-877-6945,37.4881663,127.0286737
태봉주유소세차장,서초구,주유소,자동세차,서초구 태봉로 117 (우면동),일요일,9:00,18:00,null,null,02-836-0047,37.468279,127.0281706
발전카세차장,서초구,세차장,손세차,서초구 명달로4길 9 (서초동),null,9:00,18:00,0:00,0:00,02-567-7710,37.480274,127.0064308
옐로우케어,서초구,정비업소,손세차,서초구 양재천로11길 26 (양재동),일요일,9:00,18:00,null,null,02-853-3773,37.4757706,127.0362247
㈜신영대농개발,서초구,주유소,자동세차,서초구 방배로 66 (방배동),일요일,9:00,18:00,null,null,02-846-2206,37.4807119,126.9984941
소낙스 서울양재점,서초구,정비업소,손세차,서초구 바우뫼로 212 (양재동),일요일,9:00,18:00,null,null,02-829-0928,37.4805267,127.0420715
신반포주유소,서초구,주유소,자동세차,서초구 사평대로 94(반포동),일요일,9:00,18:00,null,null,02-846-2646,37.498387,126.9950235
방배동주유소,서초구,주유소,자동세차,서초구 방배천로2안길 100 (방배동),일요일,9:00,18:00,null,null,02-852-8823,37.4814912,126.9841702
우물세차장,서초구,셀프세차장,셀프세차,서초구 과천대로 844(방배동),일요일,9:00,18:00,null,null,02-821-2201,37.4672584,126.9876283
서초오토공업사,서초구,정비업소,손세차,서초구 서초대로62길 13 (서초동),일요일,9:00,18:00,null,null,02-826-5152,37.4947733,127.0196196
㈜친절한상희씨,서초구,정비업소,손세차,서초구 서초대로41길 18 (서초동),연중무휴,9:00,18:00,9:00,18:00,02-871-5888,37.4936546,127.0078294
신우자동차공업사,서초구,정비업소,손세차,서초구 서초대로60길 13 (서초동),일요일,9:00,18:00,null,null,02-872-0460,37.4943566,127.0184001
대신석유㈜ 대우주유소,서초구,대형버스 세차장,자동세차,서초구 양재대로 173 (양재동),연중무휴,9:00,18:00,9:00,18:00,02-821-3939,37.4628549,127.0371605
노벨오토자동차공업사,서초구,정비업소,손세차,서초구 방배중앙로 148 (방배동),연중무휴,9:00,18:00,9:00,18:00,02-877-8272,37.4921868,126.9869629
경동모터스㈜,서초구,정비업소,손세차,서초구 강남대로18길 16-13 (양재동),연중무휴,9:00,18:00,9:00,18:00,02-846-5151,37.4713735,127.0399453
을지카센타,서초구,정비업소,손세차,서초구 양재천로21길 38 (양재동),일요일,9:00,18:00,null,null,02-846-6700,37.4774294,127.0394399
카웍스(CARWORKS),서초구,충전소,자동세차,서초구 남부순환로 2224 (방배동),일요일,9:00,18:00,null,null,02-843-6100,37.4731918,126.9954407
펠리시떼,서초구,정비업소,손세차,서초구 서초대로 79 (방배동),일요일,9:00,18:00,null,null,02-874-1116,37.487103,126.9909043
㈜위드모터스,서초구,세차장,손세차,서초구 사임당로14길 6 (서초동),일요일,9:00,18:00,null,null,02-828-2672,37.488802,127.0171622
영우모터스,서초구,정비업소,손세차,서초구 동산로19길 13 (양재동),일요일,9:00,18:00,null,null,02-828-2673,37.4733677,127.0468812
건국아이디㈜,서초구,주유소,자동세차,서초구 신반포로 176 (반포동),연중무휴,9:00,18:00,9:00,18:00,02-840-5188,37.5053878,127.0038202
